Client	Age	Sexe	Anciennete
BC	57	1	1958
BC	30	0	5164
BC	34	0	1615
BC	61	0	3112
BC	62	0	4491
BC	81	1	4286
BC	77	1	4281
BC	64	1	2423
BC	66	1	4260
BC	27	0	1699
BC	46	1	1297
BC	81	0	1836
BC	87	0	2347
BC	49	1	1136
BC	56	0	3194
BC	35	0	4520
BC	53	1	2361
MC	39	0	502
MC	22	0	265
MC	63	0	1482
MC	39	1	666
MC	58	1	1772
MC	21	0	1525
MC	55	1	2014
MC	53	0	1875
MC	39	1	1836
MC	76	1	1294
MC	46	1	2924
MC	87	0	1388
MC	72	1	3042
MC	62	0	1505
MC	64	0	814
MC	26	0	1881
MC	32	1	987
MC	88	0	1024
MC	27	1	2995
MC	62	0	553
MC	24	1	562
