Annee	Prix moyens Champignons de Paris entiers en boite (115 g)	Prix moyens Haricots verts extra-fins en boite (460 g)	Prix moyens Haricots verts (1 kg)	Prix moyens Pommes de terre de conservation (1 kg)	Prix moyens Chou-fleur (1 kg)	Prix moyens Salades (pièce)	Prix moyens Artichauts (1 kg)	Prix moyens Asperges (1 kg)	Prix moyens Carottes (1 kg)	Prix moyens Champignons de Paris (1 kg)	Prix moyens Concombres (1 kg)	Prix moyens Courgettes (1 kg)	Prix moyens Endives (1 kg)	Prix moyens Oignons (1 kg)	Prix moyens Poireaux (1 kg)	Prix moyens Tomates (1 kg)	Prix moyens Pommes de terre nouvelles (1 kg)
2014	0.94	1.36	4.5	1.5	1.53	1.37	3.42	8.88	1.33	4.62	2.23	2.04	2.38	2.38	1.72	2.8	2.03
2013	0.96	1.36	4.73	1.67	1.63	1.5	3.62	9.34	1.38	4.64	2.52	2.29	2.42	2.25	2.26	2.74	2.03
2012	0.92	1.38	4.9	1.46	1.5	1.48	3.48	8.42	1.32	4.63	2.33	2.11	2.61	2.08	2.02	2.87	1.82
2011	0.92	1.36	4.48	1.45	1.47	1.3	3.15	7.54	1.18	4.63	2.06	1.89	2.31	2.17	1.88	2.57	1.89
2010	0.9	1.37	4.27	1.36	1.59	1.52	3.51	7.57	1.16	4.63	2.31	2.21	2.49	2.1	2.12	2.98	1.84
2009	0.88	1.42	4.08	1.28	1.41	1.37	2.93	6.83	1.16	4.6	2.02	1.78	2.29	1.89	1.95	2.49	1.74
2008	0.86	1.41	4.27	1.32	1.29	1.38	2.91	7.09	1.17	4.74	2.1	1.94	2.21	1.98	1.83	2.57	1.8
2007	0.8	1.4	4.34	1.34	1.4	1.34	3.03	6.96	1.16	4.57	2.07	2	2.3	1.98	1.73	2.64	1.78
2006	0.77	1.44	4.24	1.25	1.49	1.39	3.25	6.81	1.11	4.43	2.04	1.95	2.31	1.67	1.97	2.53	1.61
2005	0.77	1.47	4.09	1.1	1.25	1.35	3.04	6.64	1.04	4.38	2.08	1.98	2.07	1.55	1.62	2.53	1.45
2004	0.79	1.51	4.12	1.19	1.1	1.21	2.9	6.48	1.06	4.42	1.96	1.81	2.09	1.65	1.59	2.16	1.56
2003	0.79	1.49	4.35	1.09	1.37	1.39	3.38	6.58	1.13	4.38	2.08	2.07	2.06	1.59	2.03	2.63	1.4
2002	0.78	1.45	4.01	1.08	1.28	1.24	2.52	5.95	1.06	4.25	1.85	1.91	2.45	1.55	1.72	2.7	1.42
2001	0.76	1.41	3.74	1.07	1.17	1.2	2.52	5.74	1.07	4.14	1.88	1.89	2.22	1.38	1.83	2.22	1.39
2000	0.76	1.37	3.71	0.96	1.11	1.09	2.4	5.26	0.92	3.94	1.88	1.75	1.94	1.23	1.52	2.36	1.14
1999	0.74	1.37	3.56	0.98	1.09	1.08	2.24	5.13	0.96	3.79	1.59	1.71	2.26	1.29	1.61	2.05	1.16
1998	0.72	1.43	3.62	0.94	1.01	1.01	2.13	5.16	0.9	3.73	1.7	1.83	1.88	1.5	1.55	2.09	1.19
1997	0.74	1.43															
1996	0.77	1.49															
1995	0.75	1.53															
1994	0.74	1.63															
1993	0.74	1.7															
1992	0.82	1.91															
